"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux"
"208","Kummeli  15",10045,2344,2019,7,27,208,"SAT",5071.18,9517,4.5,698,60.7217391304348,56.1913043478261,58.115652173913,26.2686956521739,38.6269565217391,25.2575634279348,3.33273755671014,66.6574786440217,7107.65204116208
"76","Kummeli  15",10045,7926,2019,3,17,76,"SUN",2402.11,6350,27.6,939,69.3591666666667,43.1645833333333,58.125,44.0941666666667,36.3483333333333,2.10310080945139,3.45925847682292,206.139497397917,1351.0847088495
"264","Kummeli  15",10045,3720,2019,9,21,264,"SAT",6079.09,10861,21.9,751,67.9479166666667,45.0233333333333,59.5283333333333,39.4291666666667,34.3325,8.81029569142708,3.10406752969792,267.139662686462,1508.99238776983
"99","Kummeli  15",10045,8477,2019,4,9,99,"TUE",2906.03,6901,24.3,885,70.2295833333333,43.96625,60.1383333333333,40.1566666666667,33.8925,1.43281657276389,3.92018766600694,233.837961205208,1183.54678555283
"348","Kummeli  15",10045,5856,2019,12,14,348,"SAT",8011.15,12878,30.9,1027,69.0382608695652,43.8982608695652,59.8026086956522,45.6430434782609,37.2330434782609,1.54725926559058,2.88482752301812,158.397860955435,120.2863219795
"318","Kummeli  15",10045,5090,2019,11,14,318,"THU",7226.12,12158,22.7,915,67.3558333333333,44.5691666666667,59.7875,40.3579166666667,34.4308333333333,9.43757734818403,3.819632521875,210.734410563542,319.288196506167
"207","Kummeli  15",10045,2320,2019,7,26,207,"FRI",5048.79,9493,4.6,781,61.3847826086957,56.3030434782609,58.385652173913,26.0539130434783,37.9660869565217,21.166496011087,2.83932444791667,66.7179548208696,4663.43440029783
"197","Kummeli  15",10045,2080,2019,7,16,197,"TUE",4850.67,9253,10.6,1033,62.52625,56.3554166666667,58.8983333333333,25.0304166666667,37.9058333333333,15.7987487637153,2.4106043664375,176.016620750472,3997.524886451
"235","Kummeli  15",10045,2992,2019,8,23,235,"FRI",5619.73,10165,4.8,874,62.2858333333333,56.8333333333333,59.1408333333333,25.4591666666667,38.5483333333333,17.3862190869792,4.30962575157292,233.524726429861,3674.76550182433
"342","Kummeli  15",10045,5689,2019,12,8,342,"SUN",7854.42,12734,31.4,1063,69.3133333333333,43.79625,59.2241666666667,45.1475,37.045,2.95514140137847,6.50263603194097,244.673215174653,402.46627935725
