"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux","Regresion_UV","Regresion_MV"
"239","Kummeli  15",10045,3088,2019,8,27,239,"TUE",5691.49,10261,4.7,630,64.00125,55.7516666666667,58.8729166666667,25.8870833333333,38.25625,19.9095430482292,2.44115475988889,227.748544092469,5357.78632320117,5.4889146913976,5.17526121155514
"256","Kummeli  15",10045,3496,2019,9,13,256,"FRI",5941.99,10669,7.2,625,64.8229166666667,56.7895833333333,59.735,25.11125,38.18125,12.9403237979965,4.67703843946528,258.436089169445,1232.04741546658,12.9588364240923,12.1246654992454
"257","Kummeli  15",10045,3520,2019,9,14,257,"SAT",5955.95,10693,5,601,64.4979166666667,56.5795833333333,59.6616666666667,24.3908333333333,38.045,10.6382699554479,4.77253015373958,280.348898175347,3116.63101811575,15.4262809700094,15.1436933160072
"263","Kummeli  15",10045,3696,2019,9,20,263,"FRI",6060.33,10837,20,741,68.3704166666667,44.9058333333333,59.7308333333333,40.9091666666667,35.28,6.33652690020486,2.72491392304861,282.122116935319,3427.57764679775,20.0370820917786,19.7633966800911
"269","Kummeli  15",10045,3840,2019,9,26,269,"THU",6165.01,10981,23.7,720,70.6970833333333,44.2025,59.0095833333333,42.025,36.225,8.3304476205764,1.40272691832986,251.600581371295,3426.67273445567,17.8999084446909,17.4533359901409
"270","Kummeli  15",10045,3864,2019,9,27,270,"FRI",6181.57,11005,22.8,742,70.5145833333333,44.1679166666667,58.8616666666667,41.6783333333333,36.0033333333333,8.8264542749618,1.51064773681944,231.467551223062,3505.47421364808,17.3682662686996,17.0233182170866
"273","Kummeli  15",10045,3936,2019,9,30,273,"MON",6226.4,11077,16.1,491,70.2878260869565,44.16,58.8291304347826,36.7082608695652,32.8660869565217,11.7665590044203,2.30774457121014,168.336472863007,1021.82905223975,14.2169301682824,13.446441279357
"275","Kummeli  15",10045,3984,2019,10,2,275,"WED",6253.1,11125,19.7,716,70.2445833333333,44.2433333333333,59.195,40.56125,35.4870833333333,9.31875402493056,4.24936664232986,223.254354390347,2832.80070626292,16.8405973191011,16.7380684583078
"277","Kummeli  15",10045,4032,2019,10,4,277,"FRI",6286.64,11173,19.7,881,67.0195833333333,45.2270833333333,59.1075,44.1408333333333,37.7545833333333,3.19723380790972,1.84896671799305,265.241223781229,943.429066196917,23.401917212248,22.5811710945693
"304","Kummeli  15",10045,4730,2019,10,31,304,"THU",6898.06,11822,31.5,1101,69.17125,45.055,59.7966666666667,48.2679166666667,39.73875,1.36715167392708,3.93684678277778,239.605193652083,532.732999282583,25.3634813149696,24.9680460314201
